
---------------------------------------------------------------------
Sun Oct 26 15:42:56 2025

Threshold for fsyrk base case (using ModularBalanced<double> modulo 131071)

fsyrk:  n                   Base case                        Recursive 1 level
                    seconds            Gfops          seconds            Gfops
      1000         0.144547          2.30606        0.0732627          4.54984
      1000         0.080445          4.14362        0.0899133          3.70728
      2000         0.317213          8.40655         0.286958          9.29289
      2000         0.342066          7.79577         0.283803          9.39619
      2000         0.334311           7.9766         0.296504          8.99369
      1500         0.228556          4.92221         0.159348          7.06003
      1250         0.151446          4.29883         0.125161          5.20165
      1125         0.122554          3.87264          0.13776          3.44519
      1187         0.127575          4.36983        0.0937789          5.94464
      1187         0.141701          3.93422            0.101          5.51962
      1187         0.114553          4.86657         0.131756          4.23116
      1218         0.120673          4.99125         0.110547          5.44846
      1218         0.158189          3.80754         0.137767          4.37196
      1218           0.1524          3.95217         0.124823          4.82533
      1203          0.13264          4.37522         0.154865          3.74734
      1210         0.122172          4.83352        0.0973636          6.06511
      1210         0.134234          4.39919         0.102073          5.78528
      1210         0.133101          4.43663          0.10701          5.51835
      1207         0.116116          5.04786         0.120953          4.84601

defined __FFLASFFPACK_FSYRK_THRESHOLD to 1210
