trial,n,q,success,precond?
1,100,31,100,0
1,10,31,100,0
1,11,31,97,0
1,12,31,90,0
1,13,31,86,0
1,14,31,91,0
1,15,31,87,0
1,16,31,84,0
1,17,31,91,0
1,18,31,81,0
1,19,31,84,0
1,20,31,99,0
1,21,31,100,0
1,22,31,87,0
1,23,31,83,0
1,24,31,100,0
1,25,31,94,0
1,26,31,81,0
1,27,31,83,0
1,28,31,100,0
1,29,31,88,0
1,30,31,100,0
1,31,31,100,0
1,32,31,93,0
1,33,31,100,0
1,34,31,100,0
1,35,31,92,0
1,36,31,90,0
1,37,31,88,0
1,38,31,94,0
1,39,31,95,0
1,40,31,93,0
1,41,31,89,0
1,42,31,72,0
1,43,31,79,0
1,44,31,100,0
1,45,31,92,0
1,46,31,92,0
1,47,31,64,0
1,48,31,100,0
1,49,31,83,0
1,50,31,87,0
1,51,31,89,0
1,52,31,100,0
1,53,31,78,0
1,54,31,97,0
1,55,31,81,0
1,56,31,99,0
1,57,31,88,0
1,58,31,72,0
1,59,31,92,0
1,60,31,100,0
1,61,31,80,0
1,62,31,88,0
1,63,31,81,0
1,64,31,90,0
1,65,31,92,0
1,66,31,86,0
1,67,31,91,0
1,68,31,91,0
1,69,31,93,0
1,70,31,95,0
1,71,31,78,0
1,72,31,87,0
1,73,31,100,0
1,74,31,96,0
1,75,31,94,0
1,76,31,93,0
1,77,31,100,0
1,78,31,81,0
1,79,31,87,0
1,80,31,78,0
1,81,31,90,0
1,82,31,77,0
1,83,31,100,0
1,84,31,100,0
1,85,31,99,0
1,86,31,94,0
1,87,31,90,0
1,88,31,81,0
1,89,31,100,0
1,90,31,83,0
1,91,31,81,0
1,92,31,82,0
1,93,31,73,0
1,94,31,83,0
1,95,31,94,0
1,96,31,91,0
1,97,31,93,0
1,98,31,100,0
1,99,31,88,0
1,100,31,16,1
1,10,31,60,1
1,11,31,43,1
1,12,31,48,1
1,13,31,43,1
1,14,31,41,1
1,15,31,30,1
1,16,31,47,1
1,17,31,42,1
1,18,31,41,1
1,19,31,33,1
1,20,31,30,1
1,21,31,31,1
1,22,31,21,1
1,23,31,33,1
1,24,31,41,1
1,25,31,25,1
1,26,31,23,1
1,27,31,17,1
1,28,31,28,1
1,29,31,24,1
1,30,31,19,1
1,31,31,48,1
1,32,31,20,1
1,33,31,21,1
1,34,31,33,1
1,35,31,30,1
1,36,31,24,1
1,37,31,28,1
1,38,31,20,1
1,39,31,28,1
1,40,31,15,1
1,41,31,14,1
1,42,31,17,1
1,43,31,24,1
1,44,31,27,1
1,45,31,36,1
1,46,31,30,1
1,47,31,25,1
1,48,31,30,1
1,49,31,21,1
1,50,31,15,1
1,51,31,23,1
1,52,31,22,1
1,53,31,19,1
1,54,31,13,1
1,55,31,18,1
1,56,31,25,1
1,57,31,33,1
1,58,31,21,1
1,59,31,27,1
1,60,31,23,1
1,61,31,26,1
1,62,31,16,1
1,63,31,21,1
1,64,31,19,1
1,65,31,34,1
1,66,31,27,1
1,67,31,18,1
1,68,31,27,1
1,69,31,20,1
1,70,31,19,1
1,71,31,24,1
1,72,31,29,1
1,73,31,28,1
1,74,31,39,1
1,75,31,19,1
1,76,31,33,1
1,77,31,29,1
1,78,31,24,1
1,79,31,24,1
1,80,31,23,1
1,81,31,28,1
1,82,31,22,1
1,83,31,23,1
1,84,31,22,1
1,85,31,23,1
1,86,31,29,1
1,87,31,21,1
1,88,31,20,1
1,89,31,40,1
1,90,31,24,1
1,91,31,26,1
1,92,31,21,1
1,93,31,23,1
1,94,31,30,1
1,95,31,28,1
1,96,31,15,1
1,97,31,25,1
1,98,31,25,1
1,99,31,30,1
2,100,31,100,0
2,10,31,89,0
2,11,31,100,0
2,12,31,93,0
2,13,31,100,0
2,14,31,78,0
2,15,31,86,0
2,16,31,80,0
2,17,31,81,0
2,18,31,83,0
2,19,31,80,0
2,20,31,98,0
2,21,31,90,0
2,22,31,85,0
2,23,31,100,0
2,24,31,84,0
2,25,31,88,0
2,26,31,91,0
2,27,31,96,0
2,28,31,89,0
2,29,31,84,0
2,30,31,77,0
2,31,31,90,0
2,32,31,87,0
2,33,31,100,0
2,34,31,89,0
2,35,31,100,0
2,36,31,88,0
2,37,31,100,0
2,38,31,100,0
2,39,31,100,0
2,40,31,92,0
2,41,31,71,0
2,42,31,81,0
2,43,31,76,0
2,44,31,92,0
2,45,31,88,0
2,46,31,100,0
2,47,31,94,0
2,48,31,100,0
2,49,31,88,0
2,50,31,100,0
2,51,31,77,0
2,52,31,100,0
2,53,31,100,0
2,54,31,84,0
2,55,31,100,0
2,56,31,93,0
2,57,31,97,0
2,58,31,91,0
2,59,31,82,0
2,60,31,99,0
2,61,31,99,0
2,62,31,93,0
2,63,31,82,0
2,64,31,100,0
2,65,31,81,0
2,66,31,77,0
2,67,31,94,0
2,68,31,82,0
2,69,31,86,0
2,70,31,99,0
2,71,31,89,0
2,72,31,91,0
2,73,31,87,0
2,74,31,99,0
2,75,31,89,0
2,76,31,100,0
2,77,31,100,0
2,78,31,88,0
2,79,31,87,0
2,80,31,89,0
2,81,31,100,0
2,82,31,86,0
2,83,31,100,0
2,84,31,77,0
2,85,31,100,0
2,86,31,78,0
2,87,31,87,0
2,88,31,85,0
2,89,31,87,0
2,90,31,89,0
2,91,31,100,0
2,92,31,87,0
2,93,31,78,0
2,94,31,100,0
2,95,31,80,0
2,96,31,69,0
2,97,31,90,0
2,98,31,100,0
2,99,31,85,0
2,100,31,42,1
2,10,31,41,1
2,11,31,36,1
2,12,31,24,1
2,13,31,34,1
2,14,31,30,1
2,15,31,42,1
2,16,31,31,1
2,17,31,32,1
2,18,31,25,1
2,19,31,32,1
2,20,31,39,1
2,21,31,31,1
2,22,31,25,1
2,23,31,37,1
2,24,31,24,1
2,25,31,42,1
2,26,31,38,1
2,27,31,15,1
2,28,31,16,1
2,29,31,19,1
2,30,31,35,1
2,31,31,29,1
2,32,31,30,1
2,33,31,10,1
2,34,31,32,1
2,35,31,13,1
2,36,31,37,1
2,37,31,35,1
2,38,31,43,1
2,39,31,15,1
2,40,31,21,1
2,41,31,33,1
2,42,31,29,1
2,43,31,22,1
2,44,31,23,1
2,45,31,21,1
2,46,31,22,1
2,47,31,21,1
2,48,31,20,1
2,49,31,25,1
2,50,31,29,1
2,51,31,31,1
2,52,31,26,1
2,53,31,26,1
2,54,31,26,1
2,55,31,29,1
2,56,31,25,1
2,57,31,18,1
2,58,31,25,1
2,59,31,25,1
2,60,31,24,1
2,61,31,18,1
2,62,31,29,1
2,63,31,20,1
2,64,31,15,1
2,65,31,19,1
2,66,31,28,1
2,67,31,31,1
2,68,31,25,1
2,69,31,24,1
2,70,31,34,1
2,71,31,21,1
2,72,31,27,1
2,73,31,22,1
2,74,31,34,1
2,75,31,29,1
2,76,31,28,1
2,77,31,25,1
2,78,31,23,1
2,79,31,25,1
2,80,31,22,1
2,81,31,26,1
2,82,31,24,1
2,83,31,27,1
2,84,31,22,1
2,85,31,21,1
2,86,31,29,1
2,87,31,36,1
2,88,31,28,1
2,89,31,25,1
2,90,31,37,1
2,91,31,38,1
2,92,31,27,1
2,93,31,28,1
2,94,31,32,1
2,95,31,29,1
2,96,31,38,1
2,97,31,38,1
2,98,31,34,1
2,99,31,32,1
3,100,31,83,0
3,10,31,94,0
3,11,31,100,0
3,12,31,91,0
3,13,31,82,0
3,14,31,100,0
3,15,31,100,0
3,16,31,100,0
3,17,31,80,0
3,18,31,100,0
3,19,31,79,0
3,20,31,77,0
3,21,31,88,0
3,22,31,84,0
3,23,31,93,0
3,24,31,80,0
3,25,31,81,0
3,26,31,100,0
3,27,31,92,0
3,28,31,91,0
3,29,31,100,0
3,30,31,91,0
3,31,31,100,0
3,32,31,92,0
3,33,31,86,0
3,34,31,100,0
3,35,31,100,0
3,36,31,100,0
3,37,31,100,0
3,38,31,100,0
3,39,31,100,0
3,40,31,78,0
3,41,31,84,0
3,42,31,84,0
3,43,31,92,0
3,44,31,100,0
3,45,31,99,0
3,46,31,93,0
3,47,31,88,0
3,48,31,100,0
3,49,31,87,0
3,50,31,100,0
